date_created_utc,elapsed,creator,creator_url,version,os,question_id,question_url,question_title,question_content,assignee,assignee_url
2026-09-10 15:21,13d 16h,amy20,https://support.mozilla.org/en-US/user/amy20/,155.0.1,Windows 11,1603281,https://support.mozilla.org/questions/1603281,"""Play Sound"" in message filters no longer working","I used to be able to set message filters to play a sound of my choosing after a message was filtered into a folder (a chime so i know when mail from a client arrives). For a while it was not an option, so I used various extensions that eventually were no longer supported (ToneQuilla, Mailbox Alert, FiltaQuilla, Soundmail). I suspect that the last one may have corrupted my Thunderbird and caused my recent issues, so I removed it (and now I have no extensions installed). Sound Mail is the only extension I can find that plays a sound for filtered mail only. Meanwhile, the ""Play Sound"" option has appeared again in v155.0.1, but with no choice of sound file, and nothing plays. It's not a sound issue; other sounds play in other programs, and the normal new mail sound plays when I enable it (but I don't want sound notifications for all mail, just client mail). Any solutions? ",,
2026-09-10 16:22,13d 15h,LornaJ2,https://support.mozilla.org/en-US/user/LornaJ2/,153.2.0esr 64-bit,Linux,1603296,https://support.mozilla.org/questions/1603296,Tags removing themself,"I have quite a few tags and quite a few message filters which are set to add tags. In the last few days, although the rule will automatically add a tag when I run it, it seems to be being deleted again almost immediately.  I have deleted several now obsolete message rules in case there was some kind of stack overflow problem, and likewise removed several obsolete tags, but it seems to be still happening. Is there a maximum number of permissible tags and/or a maximum number of permissible rules that invoke tagging? This is a new phenomenon to me. I am on the latest stable release of Linux Ubuntu and Thunderbird 153.2.0esr (64-bit) ",,
2026-09-10 17:06,13d 14h,chattome,https://support.mozilla.org/en-US/user/chattome/,153.2.0esr,Windows 11,1603308,https://support.mozilla.org/questions/1603308,Thunderbird Mail has stopped working,"I received no response to my question, but thankfully the issues resolved themselves. ",,
2026-09-10 17:26,13d 14h,johndouglas2,https://support.mozilla.org/en-US/user/johndouglas2/,115.16.2esr,Windows 10,1603316,https://support.mozilla.org/questions/1603316,I removed my outlook.com email address and now wish to reactivate it. How do I do this?,I need specific instructions. ,,
2026-09-10 18:36,13d 13h,bneeley2,https://support.mozilla.org/en-US/user/bneeley2/,115.10.1 64 bit,Windows 11,1603335,https://support.mozilla.org/questions/1603335,can't get email on laptop. I can get it on phone; have Spectrum,above ,,
2026-09-10 19:59,13d 12h,fourty4mag,https://support.mozilla.org/en-US/user/fourty4mag/,155.0.1 (aarch64),Mac OS x 10.15,1603348,https://support.mozilla.org/questions/1603348,Can't get email from Yahoo server,"I can no longer get email from my Yahoo email account.  I've gone through all the troubleshooting hints and recommendations, as I understand them, but without any luck.   I only have the one account. The Activity Manager (see attached) shows ""No messages to download"", but the message at the bottom left said there were messages, but TB doesn't download them. ",,
2026-09-10 20:48,13d 11h,viotg,https://support.mozilla.org/en-US/user/viotg/,153.2.0esr (64 bi,Windows 11,1603355,https://support.mozilla.org/questions/1603355,Update: @rocketmail.com address not recognized,"thunderbird Version 153.2.0esr (64 bits)  Hello, following an update, email retrieval is no longer working for an account with a ....@rocketmail.com address. Thunderbird opens a ""Yahoo"" login window, but when I enter my address, it is flagged as invalid. Fortunately, I am still able to log in to this account via a web browser. (Google translation from French to English) ",,
2026-09-10 21:32,13d 10h,greg256,https://support.mozilla.org/en-US/user/greg256/,155.0,Linux,1603366,https://support.mozilla.org/questions/1603366,"Keep window/tab open on move or delete, but only sometimes...","I'm aware (e.g. https://support.mozilla.org/questions/1277401) of how to toggle whether the message window stays open (opening the next message) when an email is moved or deleted. But I would dearly love for it to happen only sometimes. Specifically, when a new message comes in, I want to read it, usually move or delete it, then read the next new message, if there is one. But if the next message is an old one, I don't want to keep having it shown to me. I keep my inbox fairly tidy, but I'm getting sick of seeing that message from a year ago that doesn't have a better place to be. So, after moving or deleting a message, if there is an adjacent unread message, keep the window open. Otherwise, close it. If there's an unread message somewhere else in the folder, don't jump to that one. Trust that I've left it unread for a good reason, and don't want to now constantly get shown it, and also have to remember to mark is as unread again. If it's easier to look for other unread emails based on dates, a few days (enough to span a long weekend, for example) would probably be enough, a week at the most. Or make that number user-configurable. ",,
2026-09-11 07:35,13d 0h,borneteg.annchristin,https://support.mozilla.org/en-US/user/borneteg.annchristin/,lokalhost 60393,Windows 14,1603430,https://support.mozilla.org/questions/1603430,Inställningen misslyckades,Inloggningen kunde inte slutföras ,,
2026-09-11 09:37,12d 22h,nirvana.zanin,https://support.mozilla.org/en-US/user/nirvana.zanin/,Version 155.0.1,Mac OS x 10_15_7,1603450,https://support.mozilla.org/questions/1603450,"Thunderbird non mi fa accedere alla mail di inventati.org seppur le chiavi siano tutte giuste e pure email, password e server","Appena metto la password mi ven fuori questo errore. Da telefono sono riuscito ad accedere alla mia mail ma le cartelle non esistono, e neppure le mail che avevo inviato. Ho sincronizzato ma nulla... Component returned failure code: 0x804b000a (NS_ERROR_MALFORMED_URI) [nsIIOService.newURI] Nascondi dettagli Component returned failure code: 0x804b000a (NS_ERROR_MALFORMED_URI) [nsIIOService.newURI] ",,
2026-09-11 13:16,12d 18h,lee75,https://support.mozilla.org/en-US/user/lee75/,155.0,Windows 11,1603476,https://support.mozilla.org/questions/1603476,"After update, Thunderbird can't find Trash or Sent folders","On September 5, Thunderbird updated to 155.0 (20260828141248) (on Windows 11 10.0.26200). I use IMAP. Since then, when I try to delete a message, I get an error:  The current operation on ‘Inbox’ did not succeed. The mail server for account <email address> responded [TRYCREATE] Mailbox doesn’t exist: INBOX/Trash (0.001 + 0.000 secs) But in Settings, ""When I delete a message: Move it to this folder: Trash"" is set. Not Inbox/Trash or  INBOX.Trash, which also exist, but Trash at the same level as Inbox. I logged into webmail for this account, and there's definitely a folder for Trash. All deleted messages prior to the update are still there. If I delete a message in web mail, it is moved to the Trash folder. The same is true of the Sent folder. In Settings, ""When sending messages, automatically: Place a copy in: ""Sent"" Folder on: <account name>."" It looks to me like Thunderbird is doing something different from what the Settings say, and definitely something different than what it did before the update.  Suggestions? ",,
2026-09-11 18:33,12d 13h,g0akc,https://support.mozilla.org/en-US/user/g0akc/,155.01,Windows 11 and iOS,1603527,https://support.mozilla.org/questions/1603527,Authentication failures with new Outlook email account,"Having established a new Outlook account I cannot sign into it properly with Thunderbird - I get authentication failures each time despite all settings apparently being correct, IMAP enabled in the web browser view of the outlook account and so on.  Oauth2 set and all server settings good. I have been over and over things.  Tried various suggestions of the web to no avail. I have tried unsuccessfully with three separate machines - two Microsoft 11 laptops and an iMac.  All fail. I can access the account and send/receive emails from a web browser and I have got it working okay with an iPhone, an Android tablet and a Microsoft email client - but not with Thunderbird.  I even get a browser popup on the iMac when I open Thunderbird asking if I am trying to sign in - I say yes and it says I am all signed in - but the email doesn't authenticate.  I have passcodes all set up etc. A separate Hotmail account does work with the same Thunderbird client and has the same server settings (apart from the username obviously). I am at a loss how to resolve this other than move to a different email application. Any ideas? ",,
2026-09-11 20:48,12d 11h,stu.shevitz,https://support.mozilla.org/en-US/user/stu.shevitz/,u,Windows 11,1603555,https://support.mozilla.org/questions/1603555,Need help synching my Emails (locked duplicate),Need help synching up my Emails ,,
2026-09-12 05:20,12d 2h,newengine.ark,https://support.mozilla.org/en-US/user/newengine.ark/,155.0.1,Mac OS x 10_15_7,1603616,https://support.mozilla.org/questions/1603616,I am experiencing an SMTP sending issue with Thunderbird on macOS.,"Environment:   macOS, Apple Silicon (aarch64)  Thunderbird: 155.0.1 (aarch64), Release channel  Email hosting provider: Hostinger  SMTP server: smtp.hostinger.com  SMTP configuration: Port 465, SSL/TLS, Normal Password authentication  Problem: Incoming email via IMAP works normally, but Thunderbird cannot send any outgoing email. The error is either: “The connection to Outgoing server (SMTP) smtp.hostinger.com timed out.” or: “Sending of the message failed. The message could not be sent because connecting to Outgoing server (SMTP) smtp.hostinger.com failed. The server may be unavailable or is refusing SMTP connections.” Troubleshooting already performed:   Webmail can send emails normally.  Thunderbird can receive emails normally.  SMTP settings and username have been verified.  Port 465 with SSL/TLS does not work in Thunderbird.  Port 587 with STARTTLS was also tested and does not work.  Tested with a different network/mobile hotspot — same issue.  Tested Thunderbird Troubleshoot Mode — same issue.  Updated Thunderbird from 155.0 to 155.0.1 — issue persists.  Direct TCP connectivity from the same Mac was tested successfully:  nc -vz smtp.hostinger.com 465 → succeeded nc -vz smtp.hostinger.com 587 → succeeded Therefore, the SMTP server is reachable from the Mac on both ports, and the same mailbox can send normally through Hostinger Webmail, but Thunderbird fails to establish/use the SMTP connection. Since sending was working normally before the Thunderbird update and stopped afterwards without any SMTP configuration changes, this appears potentially related to the recent Thunderbird update. Could you please advise whether there are any known SMTP/TLS/socket issues with Thunderbird 155.x on macOS, or any additional diagnostics/settings I should check? ",,
2026-09-12 09:23,11d 22h,Botanicalbry,https://support.mozilla.org/en-US/user/Botanicalbry/,153.2.0esr,Windows 11,1603637,https://support.mozilla.org/questions/1603637,Thunderbird not fetching emails from one account,"I have three email accounts. One is with a btinternet.com domain, and Thunderbird 153.2.0 has started not fetching emails from it while getting all the others. I've removed and reinstalled the account and things work fine for a few days but then it stops again. All the security settings, etc., seem correct, and I'm not getting any error messages, just nothing happens. Any thoughts from out there? ",,
2026-09-12 11:34,11d 20h,hoofburg,https://support.mozilla.org/en-US/user/hoofburg/,155.0.1 (64 bits),Windows 11,1603651,https://support.mozilla.org/questions/1603651,ik kan mijn identity niet meer wijzigen en ben de oude kwijt,Mijn eigen identity is verdwenen en nu moet ik van een default gebruik maken. Aanpassen lukt ook niet meer. De velden blijven leeg (zie bijlage) Daarbij krijg ik bij opstarten de volgende melding: Verzending van gebruikersnaam is niet gelukt. Mailserver pop.xxxx.nl antwoordde:  [AUTH] Cleartext authentication disallowed on non-secure (SSL/TLS) connections. ,,
2026-09-12 13:53,11d 18h,v.brajkin,https://support.mozilla.org/en-US/user/v.brajkin/,155.0.1,Windows 11,1603671,https://support.mozilla.org/questions/1603671,самовольное создание папок,"Здравствуйте! 1. Почтовый клиент стал показывать в папке ""Входящие"" по 10-15-20 копий одного и того же сообщения. 2. Когда-то была создана папка ""Pending""во входящих сообщениях. Сейчас почтовый клиент сам по себе поместил ее в папку ""Удаленные"", причем во входящих двух разных почтовых ящиков. Создать эту папку как отдельную во входящих не удается. 3. Удаленную папку ""Охрана труда"" почтовая программа также поместила как отдельную папку в удаленных  и воссоздает ее снова при запуске почтового клиента. ",,
2026-09-13 07:30,11d 0h,almatt1,https://support.mozilla.org/en-US/user/almatt1/,155.01,Windows 10,1603786,https://support.mozilla.org/questions/1603786,Downloaded thunderbird so it could get my outlook emails.,"I can no longer use outlook due to being a basic BT email account user. Thunderbird recognised my account. But now says can find server. It may be my password is wrong in outlook, but it is so long ago, I have no idea of my original password. I’m using the BT Mail app on my iPad and iPhone which works fine, but want my past and present emails on my laptop as well. I’m using windows 10. Any help?? ",,
2026-09-13 08:27,10d 23h,cosphi,https://support.mozilla.org/en-US/user/cosphi/,153.2 portable 32,Windows 10,1603790,https://support.mozilla.org/questions/1603790,Problèmes avec Etiquettes,"Hello, I use the 32-bit portable 153;2 version of Thunderbird. But now when I label a message according to my list of labels by color, the selected message returns to its original color. Labeling no longer works, even though old messages retain their colors well. Thank you for your response. Ph. Costes ",,
2026-09-13 11:08,10d 20h,samopn,https://support.mozilla.org/en-US/user/samopn/,140.15.0esr (64-bi,Windows 11,1603811,https://support.mozilla.org/questions/1603811,"All of a sudden, SMTP authentication failure to (all my) Outlook accounts","As the title says, over the last two days Thunderbird won't do SMTP authentication to Outlook. It has worked happily for years and nothing at my end has changed. I've the latest version of Thunderbird - 140.15.0esr (64-bit) - and this is Windows 11. It works happily from the Outlook desktop so the password is correct. The authentication method is OAth2 and connection security is STARTTLS. Server is smtp.office365.com and port 587. Anyone else having issues? Presumably MS have changed something (again) Has anyone any suggestions on how to resolve? ",,
2026-09-13 12:45,10d 19h,auyukchoi,https://support.mozilla.org/en-US/user/auyukchoi/,140.15.0esr  32bit,Windows 10,1603829,https://support.mozilla.org/questions/1603829,"After read email , That email disappeared after I finished reading it. all filters OFF , how to fix it ?","After read email , That email disappeared after I finished reading it. all filters OFF , how to fix it ? ",,
2026-09-13 15:40,10d 16h,aspirynkabeata1,https://support.mozilla.org/en-US/user/aspirynkabeata1/,155.0.1,Windows 11,1603854,https://support.mozilla.org/questions/1603854,Dlaczego nie mogę kopiować fragmentów pdf z załącznika w email,"Od pewnego czasu nie mogę w załączonych dokumentach pdf skopiować fragmentów, żeby np. wkleić je do aplikacji bankowej. ",,
2026-09-13 15:44,10d 16h,bneeley2,https://support.mozilla.org/en-US/user/bneeley2/,115.10.1 64 bit,Windows 11,1603856,https://support.mozilla.org/questions/1603856,Not getting my emails with Thunerbird,Not getting my emails on Thunderbird ,,
