id,discovered_theme,category,severity,root_cause_hypothesis,supporting_quote,is_new_or_notable,created_date,is_solved,solved_by,has_solution,last_answer_trusted,has_trusted_answer,n_answers,n_creator_answers
1584949,Incoming mail not arriving with severe slowness and unresponsiveness,performance-crash,4,"Likely server-side or network/antivirus/VPN interference, or misconfigured server settings preventing IMAP/POP sync.",Incoming emails are not being received in Thunderbird. Thunderbird is running very slowly and frequently becomes unresponsive.,False,2026-06-01,False,,False,True,True,1,0
1584953,Recovering permanently deleted IMAP emails,send-receive,4,IMAP double-delete removed messages from server; recovery only possible from local cache if Thunderbird hasn't re-synced.,Is there any way I can retrieve these emails? Pleeeeease tell me there is.,False,2026-06-01,False,,False,True,True,1,0
1584958,Cannot add Outlook/Exchange account via account hub - Exchange auth error,sync-oauth,4,"Account hub OWL/Exchange OAuth flow fails, password field requirement conflicts with instructions causing auth error.","the same ""Exchange auth error"" would still appear after I finished all the steps in the microsoft popup.",True,2026-06-01,False,,False,False,False,0,0
1584960,Locating the menu and identifying IMAP server type,ui-ux,1,User navigation how-to; no technical defect.,I was able to locate the menu and identify the server as IMAP.,False,2026-06-01,False,,False,True,True,1,0
1584963,Emails vanished from local IMAP client after server account wiped,send-receive,5,IMAP mirrors server; empty server after ISP deletion caused local messages to be removed on sync.,"i expected my clients emails to upload to the server, but instead they 'vanished' - and I have nothing but empty folders.",False,2026-06-01,False,,False,True,True,1,0
1584965,Request to customize/disable Ctrl-Q quit shortcut,ui-ux,2,"Thunderbird lacks configurable keyboard shortcuts, causing accidental quit from muscle memory.","Could you please allow users to choose which hotkey exits Thunderbird, or at least disable the hotkey?",False,2026-06-01,False,,False,True,True,2,0
1584976,"Not responding, connection failures, slow deleting",performance-crash,4,Network/VPN/firewall/antivirus interference with IMAP connectivity.,"all the sudden I'm getting Not Responding messages, failures to connect to server, and slow deleting of emails.",False,2026-06-01,False,,False,False,True,5,1
1584982,Account sending spam/virus emails and non-delivery bounces,spam-filters,4,Email account likely compromised or spoofed causing outbound spam and NDR bounces; not a Thunderbird bug.,"Acredito que meu e-mail esteja sendo alvo de vírus, não sei como desativar esses envios de e-mails.",False,2026-06-01,False,,False,False,False,0,0
1585002,Sent folder missing after setup on new computer,search-folders,2,IMAP folder not subscribed after fresh setup; resolved via subscribe dialog.,bei der Neueinrichtung auf einem neuen Rechner fehlt mir der Ordner für gesendete Mails.,False,2026-06-01,True,davidsk,True,True,True,1,0
1585011,All emails missing / not visible,search-folders,3,Insufficient detail; possibly wrong profile loaded or folder view issue.,Where are all of my e-mails???,False,2026-06-01,False,,False,True,True,1,0
1585025,Sent copy not saved when sending from wrong Gmail account,send-receive,3,Mail sent via Gmail SMTP could not save to selected folder and no fallback copy was stored locally; message likely resides in Gmail Sent Mail.,A box appeared that said that it would not make a copy.,False,2026-06-01,False,,False,True,True,1,0
1585036,Duplicate Spam folders after Thunderbird auto-created junk folder,search-folders,2,"Thunderbird's junk settings created a new Spam folder alongside a user's existing one, conflicting names.","There are TWO folders ""Spam"" instead of one. I can't eliminate the second one.",False,2026-06-01,False,,False,False,False,0,0
1585052,Spectrum/socal.rr.com login error due to wrong server settings,account-login,3,ISPDB autoconfig picked wrong server; socal.rr.com addresses require twc.com servers and the webmail password.,"""Unable to log in at server. Probably wrong configuration, username or password.""",False,2026-06-01,True,Toad-Hall,True,True,True,2,0
1585059,Gmail IMAP account setup and sending failure,account-login,3,IMAP not enabled in Gmail and possible OAuth2 misconfiguration causing send failures and mail landing in spam.,Při odeslání zprávy z účtu mi to píše tuto informaci a zpráva neodejde.,False,2026-06-01,False,,False,True,True,4,2
1585060,POP accounts not all retrieved on startup,send-receive,2,"Per-account 'Get mail at startup' checkboxes were inconsistently set, so only some accounts fetched automatically.",it retrieves only a subset of the email accounts which I have defined,False,2026-06-01,True,davidsk,True,False,True,2,1
1585066,Yahoo folders display but no emails shown,send-receive,3,Corrupted IMAP folder cache/msf files causing message list to not populate for Yahoo account.,Folders display but no emails display??,True,2026-06-01,False,,False,False,False,0,0
1585069,Outlook CSV import field mapping broken,migration-import,3,"Address book import dialog field-mapping dropdowns only offer the pre-assigned value, preventing correct remapping.",the drop down list is only populated with one item and that is the one that is already selected which is the wrong one,True,2026-06-01,True,mikelusicic,True,False,True,3,2
1585072,Search fails to find known words in folders,search-folders,3,"Global search index (gloda) not built or corrupted, so message body searches return no results.",SEARCH MODE IS NOT WORKING IN MAIN OR SUB FOLDERS,False,2026-06-01,False,,False,False,False,0,0
1585088,Forgotten email password when migrating to new laptop,account-login,2,User conflates a Thunderbird password with the email account password; needs to recover saved passwords or migrate profile.,I can't remember my password for Thunderbird e-mail. I'm getting a new laptop,False,2026-06-01,False,,False,True,True,1,0
1585107,Cannot add mac.com (iCloud) email account,account-login,3,iCloud requires app-specific password and correct server settings which autoconfig may not supply.,Cannot use thunderbird to access my mac.com emails,False,2026-06-01,False,,False,False,False,0,0
1585108,Thunderbird hangs on startup connecting to Gmail IMAP,performance-crash,4,"Auto-checking of Gmail IMAP on startup deadlocks the UI, possibly after a Windows update broke network/OAuth handling.",my thunderbird email is not responding at all. It is trying to connect to imap.gmail.com,True,2026-06-01,False,,False,False,False,0,0
1585118,No default handler for .docx attachments,attachments,2,"Files & Attachments preference lacks a mapping for docx file type, and older versions handle the config UI differently.",that does not happen for docx. Can I establish that default?,False,2026-06-02,True,siffemoz,True,False,True,2,1
1585119,Migrating Outlook mail to Thunderbird to switch IMAP to POP,migration-import,2,User wants local email control; question is how-to about Thunderbird replacing Outlook workflow.,Will installing Thunderbird allow me to avoid all these other actions to achieve email control ?,False,2026-06-02,False,,False,False,False,0,0
1585136,Thunderbird stalling and crashing when downloading messages after update,performance-crash,4,Regression in recent version causes hang during message download across multiple machines.,"Every time it begins downloading messages, it stalls",True,2026-06-02,False,,False,False,False,0,0
1585164,Intermittent attachment access error when forwarding IMAP email,attachments,3,"Attachment file access fails intermittently (around 5 AM), possibly due to antivirus/backup locking the file or protected folder.",Při připojování souboru xxx.dxf nastala chyba. Zkontrolujte zda máte k souboru přístup.,True,2026-06-02,False,,False,False,True,2,1
1585167,ImportExportTools NG addon not working,addons-extensions,3,Addon compatibility issue with newer Thunderbird version; insufficient detail provided.,"the addon, importexporttools NG is not working",False,2026-06-02,False,,False,True,True,1,0
1585169,Request for easier localized feedback and account load/reply-from-wrong-account bugs,other,3,Startup fails loading too many accounts at once; and replies sometimes recorded from wrong identity account.,違うアカウントから返信したことになったメールがありました,True,2026-06-02,True,davidsk,True,True,True,1,0
1585172,Cannot change inbox date display to short format,ui-ux,2,Date format preference not taking effect; likely locale/config setting confusion.,cannot alter the format as short,False,2026-06-02,False,,False,True,True,1,0
1585174,Text color not displayed locally on Linux compose,ui-ux,2,"On Linux the compose editor renders own text as black despite recipients seeing color, likely a theme/display setting issue.",texts stay black.....,True,2026-06-02,False,,False,False,True,6,3
1585179,Sending Message progress box never closes with Gmail SMTP,send-receive,3,Thunderbird waits for an SMTP acknowledgement from Google that never arrives even though the message was sent.,"the Thunderbird ""Sending Message"" progress box never closes and only disappears when I press cancel",True,2026-06-02,False,,False,False,False,0,0
1585180,Thunderbird stops retrieving new messages from one POP account,send-receive,4,"Corrupted POP message index or server-side download state causing new messages to be skipped, possibly a corrupt inbox summary.","it won't retrieve any messages at all from that account. It goes through the motions, and says that there are no messages to retrieve, but there are.",True,2026-06-02,False,,False,False,False,0,0
1585181,Setting multiple default reminders and persistent center-screen alerts,calendar-tasks,2,Thunderbird lacks per-template default reminder sets and relies on OS toast notifications rather than persistent modal reminders like Outlook.,"Is there a setting, like in Outlook, to snooze a reminder until ""x minutes before start""?",False,2026-06-02,False,,False,True,True,8,3
1585187,iCloud SMTP cannot connect to send mail,send-receive,4,iCloud requires an app-specific password and correct SMTP settings; authentication or port config is failing.,"it cab't connect anymore to the SMTP server. I tried to change the SMTP mail, to delete my account and reconnect. But nothing helps.",False,2026-06-02,False,,False,False,False,0,0
1585201,Italic INBOX subfolders reappear after deletion,search-folders,2,IMAP server-side folder subscription/hierarchy re-creates these folders on reconnect since they exist on the server.,"after shutting down Thunderbird and starting Thunderbird again, the folders are back",False,2026-06-02,False,,False,False,False,0,0
1585210,Google OAuth allow button does nothing (auth loop),sync-oauth,4,"OAuth consent flow fails to complete, possibly due to blocked popup, cookies, or a broken embedded auth window.","It asks for me to click on ""allow"" but nothing happens and the page keeps appearing.",True,2026-06-02,False,,False,False,False,0,0
1585213,Inbox summary file error after profile transfer between machines,migration-import,3,Missing or corrupt .msf summary file for the inbox after copying profile; index needs rebuilding.,"Unable to open the summary file for inbox on MUN. Perhaps there was an error on disk, or the full path is too long.",False,2026-06-02,False,,False,False,False,0,0
1585216,IMAP login failed despite valid credentials (sasktel),account-login,4,Provider changed auth requirements or is throttling; may need updated auth method or app password despite webmail working.,Login to server mail.sasktel.net with username powalinsky failed,True,2026-06-02,False,,False,False,False,0,0
